,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95
Sig1,0.02661283572821116,0.9913063511636534,0.14496058578314497,0.06605087272742083,0.2844331978417234,0.08163275614226007,0.713330403114986,0.2748092597742188,0.06539365794261054,0.07689827901477753,0.06213989864961311,0.06718713541874632,0.03441194983078644,0.2006491695027932,0.06735867519536254,0.04489256915764428,0.27825070481609504,0.044463316930136165,0.13769533465988748,0.021988127983959882,0.0963040489311805,0.07474476398043173,0.004570502151226563,0.002468510164250759,0.09050754664003913,0.2440573675137342,0.04277526602486481,0.014722624171128018,0.010163052849659349,0.12499099752747689,0.05296339785007742,0.16070728859341588,0.026493822918244758,0.06797130283217412,0.014268809323522924,0.05655540349633714,0.48454909841756444,0.10947188314072454,0.2577001233351659,0.05568917473780588,0.008348252885230667,0.07070585671841045,0.08190513770067742,0.04716488066353186,0.030950752964913786,0.11035727994254396,0.3811228143783376,0.12474595657785548,0.099244423110457,0.004105786557490387,0.03989409869580762,0.02497156245465426,0.11786706986905215,0.18874369024587456,0.007492125797432747,0.004952564770471457,0.2891888321425595,0.10745178185679105,0.041400734824524554,0.036600824478668526,0.005810236474781183,0.047017745455499194,0.028938508244801375,0.12557226829832402,0.3890807917960324,0.004667984263274194,0.004400761451949564,0.07121989289059882,0.1068747775485559,0.1344024831500068,0.05300798376589455,0.00894423554398438,0.15929031886326683,0.009475528040913672,0.09694316666566472,0.2323438590373723,0.11925110947741602,0.14438917384052274,0.09584934182933447
Sig2,0.07287110514492445,0.034728354240673,0.5094399073081952,0.323423224901326,0.4327340577944674,0.13164373095890447,0.15333790162709215,0.3711036431144652,0.47871437383024895,0.16325607500858896,0.4837580397961979,0.42349164334517897,0.04641204193241899,0.08072105617796022,0.21901288499506355,0.09448447327220766,0.27030503824295116,0.20026252226351582,0.021989443865674918,0.12844496092724056,0.11540525519042333,0.21059198767185605,0.12807633353888903,0.06572754091742261,0.21318478012820719,0.38132234501024265,0.21112019449577624,0.11721623225617384,0.5185811933171531,0.3837353365519748,0.21920661703474864,0.5622459226498832,0.17802701145841127,0.4265434165954344,0.08089865088068815,0.18283771453052,0.28776586642910273,0.5838408053799022,0.22420204743520167,0.08633146265111935,0.5664757719135961,0.5344934128243566,0.13487562374655648,0.23860236444192284,0.10969865872284457,0.30390810111893185,0.47763881827313015,0.5706117352132134,0.3303415492552655,0.10040630800050798,0.23137888331929002,0.1156247483188364,0.24287693492699314,0.584040268460621,0.028938862526727838,0.04981949181433987,0.17918575226886757,0.28690213621782756,0.0600752791847472,0.12847178899200162,0.10324035288622291,0.09429982663710801,0.0840448334542212,0.2652141655511866,0.272524190352319,0.07210817605081643,0.04163260929249091,0.23406183359141708,0.5206296964909723,0.14015649943083175,0.18654960101764562,0.30214616076676926,0.4368049631061448,0.8549428116172793,0.06169832298856881,0.4434093813758746,0.44207454784604816,0.4322774970912342,0.2739197632109489
Sig3,0.0446882691326691,0.034818048991216766,0.619328916913712,0.8375859099426655,0.44002331639206926,0.1568334439530924,0.09209464184172855,0.14263402405320103,0.20501530971074566,0.1048137684572974,0.8301223089106803,0.3162867139954646,0.5510996150122673,0.13103703114175658,0.7082632590009053,0.6605050613117689,0.18518824069185125,0.09643383815062745,0.14598534603983937,0.6059394709990938,0.20772946968934336,0.1533886543518791,0.05819115535535446,0.03904091088911377,0.9039638464637734,0.18526806841903476,0.4186892957259083,0.059129244425461414,0.16039873281278982,0.17382551522664702,0.637475989380627,0.49438281730893996,0.06720557607347355,0.12326680181845862,0.05644030923681587,0.805011223049368,0.19852158655775098,0.2798057372791428,0.33701129801955054,0.06931257438060423,0.1578962479608088,0.5328691490257378,0.8442662647286808,0.12857799882344056,0.47846395359171057,0.3652346570632554,0.7056358228419822,0.2203652016818951,0.44053190003220766,0.1169104378131105,0.3827697148852054,0.5978250430769778,0.2026437580301259,0.2780784191839647,0.09023141422048797,0.22064333094197486,0.4756052158674198,0.4124840283995468,0.4752499543198989,0.33044061727221885,0.060291334153600884,0.08948300865217174,0.6659358935908463,0.20448155312960514,0.2966897515100536,0.31320655963572297,0.034330063058703564,0.26350596539279914,0.19306785515063618,0.21137395564181372,0.13641322446224535,0.14000375702960477,0.621637845259948,0.09075854277814177,0.3924460069593576,0.39718320761896075,0.2873107208931003,0.684189161498568,0.8962956790837167
Sig4,0.01270084580662012,0.08396673313470371,0.29248620742176856,0.08971955454418923,0.16760618214831702,0.013326492217423214,0.07311198525919771,0.02865865503203413,0.05182143251854243,0.01569873839335434,0.0583848487809292,0.07292456543979375,0.06756485514632726,0.0409737535409308,0.08012148488206006,0.10584940877178184,0.015260799411094594,0.02724341476755887,0.9939772679635558,0.03315891726846032,0.019421626593577268,0.09627796247884657,0.006468565272368498,0.003207449725498024,0.1061623045493143,0.027116835479846224,0.013216772870409121,0.009825229148602621,0.014714085627655193,0.012104693232109498,0.07347892324796568,0.1769440414356459,0.020132670606066938,0.02283522924700776,0.0067465629589178455,0.06027715118642807,0.047700752601986696,0.03235261840914583,0.026720762004071252,0.07216445832905671,0.009974269928066493,0.13013491320976212,0.1350400788239401,0.033438455291208036,0.028318395244072425,0.49661705745887885,0.3072162274776954,0.27244820549424664,0.03475278733371301,0.005635616066515414,0.021491218925408062,0.055062413762669515,0.053835617338186204,0.022244913281076695,0.024921665872195464,0.010955323590780885,0.036213255962585844,0.04433859862384315,0.11572970771451674,0.02656979742225629,0.014886525836728337,0.021180933780906352,0.09745196865226358,0.06780323281305578,0.07970741258531633,0.008839483862377762,0.002288651573443712,0.022625963744013045,0.0383704251061896,0.5330143321899159,0.06214278370541071,0.022001421375023367,0.3114995263081789,0.009737363728633208,0.09629867053402263,0.2287985054477466,0.2047203109103325,0.13626228557700015,0.11201440773036797
Sig5,0.0094306839565651,0.01608070131339756,0.322232479025125,0.07385866718355127,0.29635505978926835,0.024259469982493398,0.020338849395889702,0.035830831012532594,0.22875100908484103,0.12995044032720904,0.1489630784320265,0.6978096299936103,0.03971293841765744,0.11571497898698468,0.27063579229314816,0.06155814984332053,0.023088661038580316,0.25546734346239885,0.07811742702046665,0.05549576247282628,0.03470002399076888,0.1386313693925213,0.41540465181493635,0.8613113566062183,0.07447102178433807,0.031101204635772484,0.08419035439650302,0.1220971635004039,0.09471682663553538,0.013459363228502386,0.07898059569803839,0.26995882439265606,0.3085390947537413,0.037419648412376216,0.6316261748439906,0.04183655549000298,0.04432263006279946,0.1089969744080399,0.03748990612491443,0.10011107279875642,0.04918824610061523,0.1306742344853632,0.04340682529431916,0.3879650787649469,0.04580963112377345,0.2317343167654532,0.39694517109105787,0.41616486993318014,0.06732868399360403,0.15442358377364207,0.12487785137629404,0.026894427598525117,0.35519701910243273,0.13721199518032545,0.0019105595867044967,0.00658668216683167,0.08741725837375469,0.12238894812553702,0.01602255210951864,0.053443025921523835,0.16798285411592095,0.10615102162105039,0.05786630321007802,0.38942220022216667,0.18655452685059537,0.05986403416493946,0.057234400921503226,0.043089431150908686,0.20912652413246646,0.09676585534392745,0.07576105714292258,0.29049751393252565,0.1967693089506316,0.11203569089950793,0.00842217536838652,0.1691955276407251,0.5196308130506092,0.17050038020036373,0.08648764857845392
Sig6,0.7938437786368403,0.22980309262531962,0.4670029163307069,0.28523347795125864,0.6904157287039208,0.7955195386496992,0.3498011410309181,0.4142617204690684,0.16330890541633636,0.23305960166998851,0.31428570016029767,0.38266176296947507,0.1794177386961403,0.3752820772835166,0.3868073373713462,0.21194029769123945,0.37841209612508697,0.34121982245173466,0.05831143281615714,0.22976019742966214,0.6486749890509442,0.3322401043745187,0.07801999459804287,0.040394229725448594,0.3958468174751455,0.3623937041336587,0.27409604244925334,0.24076059853551735,0.10801142234076355,0.3909446167353152,0.3435854375494999,0.530398062914875,0.3468494724874942,0.14209219154159636,0.0885483497409103,0.36451970826983815,0.48322479822996,0.3842605479242174,0.4746930102857547,0.16625222242160487,0.17769166107234224,0.25943032328464866,0.29195162399593966,0.3780980700358503,0.12017346622603398,0.3099202583764278,0.5339463865823474,0.3681068677372169,0.4013963962527294,0.08150396818067251,0.49679067864608817,0.13987527550994272,0.3559420751637201,0.2684122217084731,0.042227409951896,0.054817924581451516,0.32966047008670996,0.2966559423272428,0.14979792870459285,0.15428393751428437,0.22736921163494628,0.10574437777163359,0.20692936071677592,0.3576196110883454,0.4166953797434665,0.09213099721394802,0.0387401403516886,0.3391782346873138,0.3128143232687446,0.21985095531425358,0.6793138085672945,0.3287698294598038,0.4152503695430141,0.12164480915944909,0.14960066050389376,0.5874101325415751,0.42494774396746493,0.5197299077470734,0.38364656345509285
Sig7,0.25730743851162174,0.08236235376539947,0.9185027492196846,0.4721736680201609,0.8661008957438396,0.37197466494795994,0.18638471780256227,0.29443848774196213,0.3189866843396345,0.3328011909490418,0.5879202096327606,0.5622406523454642,0.05297181367667936,0.15561562888402536,0.3308525564186108,0.10047469853273605,0.33630335171130876,0.5734495847031921,0.1894065113019674,0.2589338800930271,0.3006151377374725,0.516274228205264,0.23666226302418159,0.08099914943887243,0.30657477570061686,0.3383560692740708,0.365474547997342,0.3398136217105977,0.28636566400378527,0.31765119052448276,0.39190367891135025,0.7042350549614286,0.5373876412487729,0.17399041379267532,0.1570898604103721,0.3569531151646932,0.3645088811047035,0.43960991652051684,0.46572227738669325,0.22238615542971363,0.14058801353374595,0.4902052390651861,0.20034092029820094,0.6604986852711457,0.20828975019459905,0.7730808153740524,0.8140752982008578,0.5075074819939133,0.45761140652717713,0.276540644872488,0.5276988522387842,0.22959652386964802,0.5428368834812747,0.27602454129352405,0.00819200433533629,0.08677255321409316,0.4265553349584792,0.4173285879440558,0.06942002261366276,0.2348602100989402,0.3237307741077696,0.25842620574142483,0.0998477339600794,0.47656733284582964,0.5095477857678329,0.12182673188172044,0.12880802310567752,0.4395722705703222,0.480426234678874,0.5103533790740888,0.3747061023467041,0.48670163109854725,0.7645581904220908,0.13262075880520408,0.056140004252798636,0.736110839986556,0.6262467381471039,0.6674019040881034,0.42621003827386883
