,SBS1,SBS2,SBS3,SBS4,SBS5,SBS6,SBS7a,SBS7b,SBS7c,SBS7d,SBS8,SBS9,SBS10a,SBS10b,SBS10c,SBS10d,SBS11,SBS12,SBS13,SBS14,SBS15,SBS16,SBS17a,SBS17b,SBS18,SBS19,SBS20,SBS21,SBS22,SBS23,SBS24,SBS25,SBS26,SBS27,SBS28,SBS29,SBS30,SBS31,SBS32,SBS33,SBS34,SBS35,SBS36,SBS37,SBS38,SBS39,SBS40,SBS41,SBS42,SBS43,SBS44,SBS45,SBS46,SBS47,SBS48,SBS49,SBS50,SBS51,SBS52,SBS53,SBS54,SBS55,SBS56,SBS57,SBS58,SBS59,SBS60,SBS84,SBS85,SBS86,SBS87,SBS88,SBS89,SBS90,SBS91,SBS92,SBS93,SBS94,SBS95
Sig1,13.410405787255298,1.901446901196583,3.8973093425340477,4.127310232812003,2.787804273243089,3.3884890486967256,2.081277827957962,2.5360086125223953,3.8770033754632816,5.10275886846962,4.701105767165006,4.20747870107581,4.798010742418204,4.3887968337969605,3.9784030746843957,4.255804095473279,2.9743594455912445,4.203744750098658,4.246081896496328,5.042399480215291,3.203270294820437,3.443227296861041,6.486813376511143,7.308847543632838,3.295121715929754,1.9607557819114132,4.720093029132359,6.0667032145981725,12.788958110415447,2.8608279111252157,4.321410350836542,3.4043063651155516,4.595964513496042,3.1318777940804132,4.936641440486082,6.792919763431878,1.6532659145581494,3.2795338561239933,3.5734771656456696,3.2360456817286605,5.746881001452354,4.048829112261798,2.9545309842958543,4.48218437216499,3.3552196701786636,4.5545846367459,2.7857890422357796,3.2919781579245875,3.5946760860456908,12.143950719448283,5.654690085204049,4.1073221654878775,3.2820398476169976,3.226191411006301,7.329375734418259,6.378884285548303,2.741599016496998,4.115531746032741,4.396613087174376,3.991744255998529,21.336624899443095,12.199271316499292,6.415409455569678,3.0222110672809133,2.9326817162928993,7.502050310785691,6.703736682158542,7.20729195635474,4.006578967013951,3.7747384188886977,7.1854017123400284,35.00135863806561,3.5480545560861407,4.942992602694758,3.9315148963284026,2.637079420985128,3.5655581841848347,3.1714111171405444,3.5022502675488236
Sig2,5.506651871928575,8.180061048952304,1.1026187559556648,1.26223847662204,1.018841323247697,3.1784902272024,3.651920444329135,3.8080727021504615,2.1085766586808115,2.8879955837287463,1.62747949307362,1.1430029714161687,7.903209494480928,4.796757018932865,1.2230318299412914,1.4303994473034691,3.965147237481726,2.1807485243936684,6.298829435186375,2.9657890189853813,2.193478609209767,1.2230007945206907,3.740133947741038,5.057555557816761,1.2930108547486188,2.251933824682145,2.448810275711052,5.555926947136009,2.6777091686061283,15.334335964946842,1.7076697488579633,1.7719310162129451,2.3263139905420656,2.334707319971659,4.27098893512926,2.65969450522567,2.5271354296216253,0.6471976688931924,2.260324519422263,2.1622119351236284,3.566752595825884,1.1437437149108955,1.4882055392863849,2.042320178549282,1.5198093551480238,1.7338391449008472,1.198462108989975,1.0252307713939242,0.9801314946197001,9.831285997419853,3.914614748453441,2.508245853521819,2.187332334264481,1.6569860629162179,4.3036175793041425,3.682064683111941,2.4052599892365736,1.3003830337574485,1.902115169475108,1.69956912949369,6.6924554887075764,2.8911161699623036,3.3444607691393125,1.2213517284340345,1.1436138140166663,2.9044828260103133,3.641192601469511,5.8775236655703065,1.3727985972187644,2.3940728957210617,1.8250220880010706,15.575279308600814,1.1211982679378882,1.4561671021453328,2.8215532417069524,0.8721530922099003,1.018247617319996,0.7497743976245185,1.3482663290871897
Sig3,7.523756679979936,7.571810948570874,1.2711271438633505,0.7062726487941232,1.3183241265344805,3.310961460174683,5.473172249706213,3.220973191724158,2.982221168938767,4.269114927040753,0.8863504558710557,1.9199452312556378,3.861596446493529,4.312318660628074,0.9473514099929901,0.8745001630139192,5.128277376619305,2.7014292782656173,5.127077563312912,1.7331811106078998,1.892773175612716,1.560477909855938,4.545399279953463,6.381232609172712,0.36839131024747207,2.809802147989201,2.0274407007078934,7.923479485590439,4.092443082629583,8.792662504039,0.9333908583108304,1.5070878610105292,3.0808319055983997,2.5564933228726425,4.380951241398715,1.2181411319531341,2.9427493569300416,1.3297962260099625,1.6322493267225213,2.2372346579379445,4.185263627754895,1.1269695975828697,0.3481665938312851,2.776968065097768,0.7918547202667021,2.0075327566929273,1.1680708615224773,2.1516670908519044,1.0411567310661303,9.751085845371602,5.720642210880553,0.9494855223237747,1.8732600315567831,2.3358872882447197,3.8514614638077225,2.0957732831433677,2.0120246343412784,1.8108970985316764,0.8947528044156303,2.4592928446380586,4.019582886400557,4.283863438150767,1.7380302237133498,1.7112577232125683,1.6581426463656839,2.416559164539737,4.261843323869991,5.63319385033902,2.693192326860765,2.4041595603248402,2.432004987845734,18.116136258178393,1.1757541434323828,3.170302045637209,1.8175701627206102,1.1114795071700587,1.7133015417493482,0.7817073433718338,0.5042064092153278
Sig4,14.226581601469855,13.596267659400375,2.594983159949071,3.489230329582244,2.7542461687109827,6.4425026059904384,13.947507356340736,4.773286660878966,3.657489121994219,5.538027772854824,5.118737602248342,3.739826990651696,8.501205642691863,17.184652254695006,5.125296877111635,5.407333940740756,7.200760114391876,4.284977038650282,0.38120238697551045,6.35353969518884,5.476906206592962,2.833179942153379,5.438751391708537,6.900183130350361,3.2299580816373217,3.8817328600799277,5.436442998358158,6.15202083331493,5.534494954289432,6.505086163836071,3.4713738637383567,2.924430168777712,4.48902318992292,3.8380734917372914,6.800731435767985,5.607282272585327,5.76003954564423,4.144090541999976,14.461286324373122,2.514316254102633,7.485281140455386,2.8051995971347585,2.5527884935379483,4.419616877254226,3.1334304436864495,2.3091961863278336,2.319002948007298,2.1127482778978903,4.83135530159239,9.769246891632088,5.7869990403861795,3.0869686733017,3.515161795660701,5.681460088665252,5.796506775950787,5.6989115196309434,5.012525012514605,3.8828310168050417,3.2343454823459794,3.8383297637503406,6.865113761508154,5.606169024525822,4.367567632265479,3.169273270004515,3.135923614584632,7.060571622351137,5.590214320178877,15.650441609091368,4.220568403149881,1.8388215824423715,4.490660603426971,21.705735374944013,2.2727311193630513,4.863020274969234,5.31821113230219,2.1565533362733498,2.5571717053640013,2.7126613704659563,3.1093314223973776
Sig5,9.856726885840809,12.578876356331996,1.7042514328397083,3.242574983150423,1.5509501484773527,3.4610140327049796,5.652885205790378,4.7811548521119915,3.5065126717696176,3.3561884661996366,3.4557440692842265,0.842181946629255,5.207432913471682,5.172115271799979,1.0452942778750574,1.7800580492213123,6.0105764237705595,2.5085875666476367,8.134869231637406,2.8698852957098233,2.7042352539526053,1.7993796747144195,1.9169542577854561,1.431044680834126,2.240469508436092,3.123578741687135,3.0329678971904452,8.007023887285788,5.306826695505041,17.6009358021148,2.451828726215503,4.141570645889079,1.4715810062832806,3.7746373715649675,1.7656649791012513,3.550989569717021,3.4380327325450275,2.1469258617778744,5.669901008156824,2.959592826267013,6.977583853795741,2.4967299002100107,2.6519556155823643,1.549331582173403,1.894318613919649,2.235011018880419,1.3391729270028219,1.251993055077079,2.4895737005564347,11.0012272790331,3.4120321516533703,3.292173855177281,2.299827392889521,3.197498551365104,5.952303167569862,5.079252546809467,3.343255711878834,2.3262617691642524,2.672693452745353,2.39429386125716,3.9589061274226114,2.985517525604378,9.755472628283703,1.279634667576675,2.0191787375248618,6.04283104530746,3.965945720800952,13.065269817519752,1.97969437465907,3.1767004320451115,2.8518753848203784,17.875582713333607,2.1250542555613943,2.4444601164659945,4.369345981155373,2.4623893019401395,1.1034086587544107,1.9627545756395077,2.8846510131894507
Sig6,3.9463209056258055,8.353920073608027,1.7303950661803777,2.1087809124246917,0.8060913001496584,1.235575257354149,5.642898407974786,2.0532212874337787,3.6051849302711334,2.7852550144877055,2.5556995671705973,1.509855899187666,5.137754591939203,2.7264901888942292,0.8700331236488086,1.6322778599919274,3.16100122816089,2.6828949588098356,5.508572453840451,1.9760815005834815,0.8225614381361774,1.5362559297175906,4.482752328475632,5.874060474432427,0.9658990702159869,1.5613342670309227,1.5853793694521507,3.7914939134280297,7.065243836608804,6.260867276808428,1.6464443917858536,1.5833985183707626,1.761578165812794,1.745799024010905,3.5141866313623975,2.508315343805651,1.5091299074300053,1.0852599686484352,1.261411880830063,1.5835594904505434,4.480320020186094,2.161703145895535,1.1074656869952144,1.8200340804552073,1.3934260946050363,1.9948926156250222,3.881130286780048,1.389971684252727,1.4567715826299603,10.09138447137159,4.092150479386301,2.0712526361701986,1.4791399498409423,2.0682249608175316,4.149102606992843,3.2660187870348074,1.8747853491620283,1.5994503594312914,1.6130718970149966,1.7344484013738934,4.525064706683204,3.4009820604157595,2.641424969941353,1.1328707498132702,1.1239261385422228,6.504027737269795,3.2861162271355484,6.3464896522476435,2.7340331169613967,2.118604718541521,1.7219004292115934,14.43763145451499,1.5760076321466823,3.489231490143984,2.507573504729142,0.7850512871031216,1.3295359167347498,0.8393532574937927,1.2837062325596258
Sig7,5.786860693502075,8.327592126150542,0.3882774290509051,1.0114428791406356,0.19808625495778848,2.5077101767930667,4.706242100269636,2.235038318436555,2.4961329655103053,2.7273057538328493,1.4799177041512555,0.7821755541655493,7.030457113206159,5.727455569520684,0.8712510018201907,1.308763693973026,3.441618845210599,1.268589113545014,5.297795671735719,2.480242871866534,1.6872571409048955,0.5969716457199361,3.030481605631942,5.556768921317431,0.7992528537265486,1.469370835577334,1.8587351171713633,3.511173977991054,3.9034148480361663,11.683527108332187,0.9946910566916485,1.3015113962067266,1.2476531148806147,2.488623816348979,4.402455148925776,1.7993894174249938,1.8025810182100077,0.438343415471549,1.5326023677679503,1.2682323325237412,4.4325167549389635,1.0146614311397653,0.849465455955507,0.9986374610590388,0.8561044610895248,0.8124672235569016,0.8121628752992771,0.7130823862818811,0.8024711275924059,5.5075267478690515,3.1365549443523344,1.4667227484774596,1.4512965364310741,1.7029385167394953,3.5550901617620094,3.028089664454394,1.4909552255189196,0.9530572518164354,1.1221976129584887,1.1384666881093328,2.839291349533561,2.192459215389811,2.6654408868098813,0.5144476244397405,0.6408863558906712,2.396085965210843,3.135417402518764,5.289104415723342,1.212939308393124,1.3647068373373834,1.3133988315850944,14.057594239837115,0.4760376400641897,2.4623169945429666,2.5588938733538646,0.31313896526950213,0.5658360259955495,0.2833289586779276,0.8443717250891769
